createdat,orderid,restaurantstatus,paymentmethod,subtotal,customerid,restaurantname,customeraddressprovince,restaurantacceptedat,foodpreparedpromised,podactual
2019-09-04 18:44:44,15282849,none,none,139.0,2116197,Rocomamas Berea,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:36:10,14417851,restaurant_accepted,cash,77.3,2116198,Kung Fu Kitchen Hatfield,Gauteng,2019-08-14 17:42:27,2019-08-14 17:57:27,2019-08-14 18:09:14
2019-08-14 18:21:38,14421353,none,none,154.6,2116198,Kung Fu Kitchen Hatfield,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 18:23:29,14421505,none,none,154.6,2116198,Kung Fu Kitchen Hatfield,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 18:30:30,14422088,restaurant_accepted,cash,154.6,2116198,Kung Fu Kitchen Hatfield,Gauteng,2019-08-14 18:33:16,2019-08-14 18:53:16,2019-08-14 19:15:12
2019-09-02 12:47:54,15197017,none,instant_eft,142.9,2116198,KFC Hatfield,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-02 12:49:52,15197126,none,none,142.9,2116198,KFC Hatfield,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-11 17:26:40,15539072,none,credit,86.0,2116198,Ice Cream Lerato,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-11 17:28:37,15539205,none,none,86.0,2116198,Ice Cream Lerato,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:40:15,14418144,none,none,184.0,2116199,Narona Cape Town,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:36:10,14417850,none,none,162.8,2116201,KFC Berea Centre,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:46:52,14418599,restaurant_accepted,credit,242.6,2116202,Burger King Green Market Square,Western Cape,2019-08-14 17:50:49,2019-08-14 18:10:49,2019-08-14 18:18:43
2019-08-15 16:34:36,14444041,restaurant_accepted,credit,423.0,2116202,Spur Seven,Western Cape,2019-08-15 16:43:21,2019-08-15 17:03:21,2019-08-15 17:30:47
2019-08-17 14:43:36,14517358,restaurant_accepted,credit,195.6,2116202,Jarryds,Western Cape,2019-08-17 14:45:47,2019-08-17 15:00:47,2019-08-17 15:13:33
2019-08-31 16:44:13,15120850,restaurant_accepted,credit,390.0,2116202,Spur Seven,Western Cape,2019-08-31 16:46:56,2019-08-31 17:10:56,2019-08-31 17:25:11
2019-08-20 09:28:35,14602271,none,none,101.0,2116204,Rocomamas Campus Square,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 09:29:08,14602277,none,none,101.0,2116204,Rocomamas Campus Square,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 11:38:33,14605677,none,none,67.9,2116204,Steers Auckland Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 11:40:27,14605761,none,none,84.9,2116204,Steers Auckland Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 11:42:51,14605895,none,none,85.9,2116204,Steers Auckland Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 12:05:16,14606987,restaurant_accepted,cash,112.0,2116204,Rocomamas Campus Square,Gauteng,2019-08-20 12:08:39,2019-08-20 12:28:39,2019-08-20 12:43:29
2019-08-14 17:39:53,14418117,restaurant_accepted,cash,434.0,2116205,Nando's Umgeni,KwaZulu-Natal,2019-08-14 17:41:13,2019-08-14 18:01:13,0000/00/00  00:00:00
2019-08-14 18:31:49,14422233,none,none,147.7,2116205,KFC Davenport Square,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 18:37:53,14422730,none,none,147.7,2116205,KFC Davenport Square,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 18:26:03,14421708,none,none,184.0,2116206,The Grillfather,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-28 12:17:46,16218437,none,none,63.9,2116206,Steers Observatory,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-28 12:19:59,16218606,none,none,63.9,2116206,Steers Observatory,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-28 12:20:54,16218662,none,none,57.9,2116206,KFC Observatory,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-28 12:36:41,16219717,none,none,98.7,2116206,KFC Observatory,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-28 12:37:54,16219809,restaurant_accepted,cash,110.7,2116206,KFC Observatory,(null),2019-09-28 12:41:40,2019-09-28 12:56:40,2019-09-28 12:58:54
2019-10-02 17:23:08,16410247,none,none,98.0,2116206,Brocka,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-03 17:30:39,16452807,none,none,74.0,2116206,Brocka,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-03 17:32:39,16452978,restaurant_accepted,cash,74.0,2116206,Brocka,(null),2019-10-03 17:34:30,2019-10-03 17:49:30,2019-10-03 18:03:58
2019-09-30 17:53:07,16334553,restaurant_accepted,cash,284.5,2116207,KFC Armitage Road,KwaZulu-Natal,2019-09-30 17:58:59,2019-09-30 18:13:59,2019-09-30 18:44:16
2019-08-14 17:39:38,14418096,none,none,89.0,2116208,Nando's Pietersburg,Limpopo,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-19 16:36:23,14589829,none,none,32.9,2116208,McDonald's Polokwane CBD,Limpopo,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-06 12:21:07,16582598,none,none,36.9,2116208,McDonald's Polokwane CBD,Limpopo,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-06 12:26:56,16582970,none,none,110.7,2116208,McDonald's Polokwane CBD,Limpopo,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-06 12:31:16,16583264,none,none,110.7,2116208,McDonald's Polokwane CBD,Limpopo,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-06 12:33:36,16583424,none,none,73.8,2116208,McDonald's Polokwane CBD,Limpopo,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 18:58:44,14424351,none,none,96.8,2116210,KFC Gardens,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 18:58:52,14424359,none,none,96.8,2116210,KFC Gardens,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-21 10:23:00,15900070,none,none,113.8,2116210,Wimpy St Georges Street,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-21 10:33:27,15900334,none,none,106.8,2116210,KFC Gardens,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-21 10:34:20,15900371,none,none,106.8,2116210,KFC Gardens,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-21 10:35:09,15900395,none,none,120.0,2116210,Villa Portuguese - CBD,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-21 19:27:17,15934982,restaurant_accepted,cash,106.8,2116210,KFC Gardens,Western Cape,2019-09-21 19:33:57,2019-09-21 19:48:57,2019-09-21 19:51:08
2019-10-03 11:55:02,16434722,none,none,144.9,2116210,KFC Wynberg,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-26 16:28:33,17457077,none,none,100.0,2116210,Narona Cape Town,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-26 16:37:37,17457746,none,none,120.0,2116210,Narona Cape Town,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-26 16:39:35,17457906,none,none,85.0,2116210,Lou Lou's,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:44:34,14418409,restaurant_accepted,cash,192.0,2116213,Spur Silver Eagle,Eastern Cape,2019-08-14 17:47:39,2019-08-14 18:07:39,2019-08-14 18:22:03
2019-10-01 21:27:46,16387322,none,none,59.8,2116216,KFC Ruimsig,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-12 14:39:46,16831593,none,none,95.3,2116216,McDonald's Retail Crossing,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-12 14:55:57,16832419,restaurant_accepted,credit,95.3,2116216,McDonald's Retail Crossing,Gauteng,2019-10-12 15:03:13,2019-10-12 15:18:13,2019-10-12 15:43:53
2019-08-14 18:56:42,14424194,none,none,338.4,2116217,Mochachos Grant Ave,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-24 19:42:53,16054859,none,none,157.6,2116217,KFC Gatemax,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-24 19:44:35,16054990,restaurant_accepted,credit,157.6,2116217,KFC Gatemax,KwaZulu-Natal,2019-09-24 19:51:49,2019-09-24 20:06:49,2019-09-24 20:33:11
2019-09-26 18:00:06,16134827,none,none,275.0,2116217,My Diners Gateway Theatre of Shopping,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-26 18:02:36,16135099,restaurant_accepted,credit,336.0,2116217,My Diners Gateway Theatre of Shopping,KwaZulu-Natal,2019-09-26 18:10:23,2019-09-26 18:42:23,2019-09-26 19:08:38
2019-09-29 15:20:40,16280638,restaurant_accepted,credit,98.0,2116217,Rocomamas Halaal Melrose Arch,Gauteng,2019-09-29 15:24:25,2019-09-29 15:39:25,2019-09-29 15:54:02
2019-10-25 12:51:44,17378253,none,none,212.4,2116217,KFC The Zone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:47:39,14418661,restaurant_accepted,instant_eft,324.0,2116219,Flame Diner New York,Gauteng,2019-08-14 17:53:33,2019-08-14 18:13:33,2019-08-14 18:30:09
2019-08-14 17:43:43,14418358,restaurant_accepted,credit,134.0,2116221,Pizza Delish!,Cape Town,2019-08-14 17:48:40,2019-08-14 18:08:40,2019-08-14 18:13:17
2019-08-14 19:23:13,14425994,restaurant_accepted,credit,109.0,2116221,Pizza Delish!,Cape Town,2019-08-14 19:24:51,2019-08-14 19:44:51,0000/00/00  00:00:00
2019-08-22 18:46:42,14686071,restaurant_accepted,credit,109.0,2116221,Pizza Delish!,Cape Town,2019-08-22 18:47:55,2019-08-22 19:17:55,0000/00/00  00:00:00
2019-09-13 18:25:52,15622376,restaurant_accepted,credit,156.0,2116221,Jewel of India Village Square,Cape Town,2019-09-13 18:29:55,2019-09-13 18:49:55,2019-09-13 19:08:39
2019-09-25 19:05:40,16095489,restaurant_accepted,credit,163.0,2116221,Pizza Delish!,Cape Town,2019-09-25 19:08:19,2019-09-25 19:51:19,2019-09-25 19:57:00
2019-10-01 19:18:32,16381121,restaurant_accepted,credit,158.0,2116221,Lu Lu Chinese Restaurant,Cape Town,2019-10-01 19:19:10,2019-10-01 19:47:10,2019-10-01 20:03:10
2019-10-07 20:07:47,16647379,restaurant_accepted,credit,364.0,2116221,Ocean Basket Glengarry,Cape Town,2019-10-07 20:08:53,2019-10-07 20:23:53,2019-10-07 20:39:10
2019-10-09 19:10:55,16714511,restaurant_accepted,credit,179.7,2116221,Lu Lu Chinese Restaurant,Cape Town,2019-10-09 19:12:13,2019-10-09 19:39:13,2019-10-09 19:55:38
2019-10-12 18:18:23,16846795,restaurant_accepted,credit,176.0,2116221,Jewel of India Village Square,Cape Town,2019-10-12 18:19:05,2019-10-12 18:39:05,2019-10-12 18:51:23
2019-10-16 18:06:39,16992421,restaurant_accepted,credit,250.0,2116221,Pizza Delish!,Cape Town,2019-10-16 18:07:57,2019-10-16 18:37:57,2019-10-16 18:53:54
2019-10-18 19:37:23,17099021,restaurant_accepted,credit,209.0,2116221,Mumbai Cafe,Cape Town,2019-10-18 19:37:55,2019-10-18 20:14:55,2019-10-18 20:18:36
2019-10-22 19:36:24,17269820,restaurant_accepted,credit,115.8,2116221,Steers Durbanville,Cape Town,2019-10-22 19:37:09,2019-10-22 19:51:09,2019-10-22 20:00:59
2019-08-14 17:54:08,14419162,restaurant_accepted,credit,235.2,2116225,Del Forno Chilli on Top,Gauteng,2019-08-14 17:58:58,2019-08-14 18:18:58,2019-08-14 18:25:23
2019-08-30 17:39:08,15070094,restaurant_accepted,cash,176.8,2116225,Roman's Pizza Sunninghill,Gauteng,2019-08-30 17:40:17,2019-08-30 18:00:17,2019-08-30 18:22:14
2019-09-04 13:07:30,15265210,restaurant_accepted,cash,65.9,2116225,Steers Mall of Africa,Gauteng,2019-09-04 13:11:32,2019-09-04 13:31:32,2019-09-04 13:37:12
2019-08-14 17:45:03,14418460,restaurant_accepted,credit,107.4,2116226,Simply Asia The Glen,Gauteng,2019-08-14 17:50:27,2019-08-14 18:10:27,2019-08-14 18:24:27
2019-08-18 19:09:08,14571287,restaurant_accepted,credit,315.1,2116226,Simply Asia Kyalami,Gauteng,2019-08-18 19:13:23,2019-08-18 19:43:23,2019-08-18 19:50:41
2019-09-07 09:07:40,15383400,none,none,188.0,2116226,Kauai Waterfall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-07 09:14:49,15383567,none,none,188.0,2116226,Kauai Waterfall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-07 09:15:56,15383590,restaurant_accepted,credit,188.0,2116226,Kauai Waterfall,Gauteng,2019-09-07 09:17:03,2019-09-07 09:45:03,2019-09-07 10:09:51
2019-09-12 08:19:28,15552774,restaurant_rejected,credit,273.0,2116226,Kauai Waterfall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-12 08:40:30,15552944,restaurant_accepted,credit,273.0,2116226,Kauai Waterfall,Gauteng,2019-09-12 08:41:04,2019-09-12 09:11:04,2019-09-12 09:32:39
2019-09-18 16:34:37,15791539,restaurant_accepted,credit,427.0,2116226,Wasabi,Gauteng,2019-09-18 16:37:24,2019-09-18 16:52:24,2019-09-18 17:06:59
2019-09-20 14:13:46,15861832,restaurant_accepted,credit,515.0,2116226,Wasabi,Gauteng,2019-09-20 14:16:05,2019-09-20 14:46:05,2019-09-20 15:02:03
2019-09-20 19:12:53,15886906,restaurant_accepted,credit,198.45,2116226,Nostimo by Mythos,Gauteng,2019-09-20 19:15:11,2019-09-20 19:46:11,2019-09-20 19:56:41
2019-09-25 12:16:10,16068461,none,none,232.0,2116226,Wasabi,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-25 12:37:48,16070176,restaurant_accepted,credit,165.0,2116226,Wasabi,Gauteng,2019-09-25 12:39:08,2019-09-25 12:59:08,2019-09-25 13:20:04
2019-09-26 08:15:26,16103969,restaurant_accepted,credit,205.7,2116226,Mugg & Bean Kyalami,Gauteng,2019-09-26 08:18:28,2019-09-26 08:44:28,2019-09-26 09:18:19
2019-09-27 19:32:36,16200226,restaurant_accepted,credit,331.0,2116226,Wasabi,Gauteng,2019-09-27 19:33:29,2019-09-27 19:53:29,2019-09-27 20:00:14
2019-10-08 12:04:37,16655771,restaurant_accepted,credit,232.0,2116226,Wasabi,Gauteng,2019-10-08 12:05:38,2019-10-08 12:25:38,2019-10-08 12:43:58
2019-10-10 12:07:54,16728864,restaurant_accepted,credit,359.0,2116226,Wasabi,Gauteng,2019-10-10 12:10:27,2019-10-10 12:25:27,2019-10-10 12:41:01
2019-10-19 09:22:08,17108579,none,none,175.7,2116226,Mugg & Bean Kyalami,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-19 09:22:40,17108597,restaurant_accepted,credit,175.7,2116226,Mugg & Bean Kyalami,Gauteng,2019-10-19 09:24:47,2019-10-19 09:49:47,2019-10-19 10:19:24
2019-10-23 18:22:38,17302980,none,none,122.0,2116226,Simply Asia Kyalami,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-25 08:03:49,17362828,restaurant_accepted,credit,187.0,2116226,Kauai Waterfall,Gauteng,2019-10-25 08:05:42,2019-10-25 08:40:42,2019-10-25 09:07:26
2019-08-14 17:46:05,14418545,none,none,157.0,2116227,Nando's Blackheath,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:51:44,14418979,none,none,157.0,2116227,Nando's Blackheath,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:51:46,14418983,none,none,157.0,2116227,Nando's Blackheath,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 19:49:03,14427359,none,none,157.0,2116227,Nando's Blackheath,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 19:49:05,14427361,none,none,157.0,2116227,Nando's Blackheath,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 19:49:07,14427362,none,none,157.0,2116227,Nando's Blackheath,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 19:50:26,14427441,restaurant_accepted,cash,157.0,2116227,Nando's Blackheath,Gauteng,2019-08-14 19:51:54,2019-08-14 20:06:54,2019-08-14 20:14:47
2019-08-15 16:27:28,14443783,none,none,194.8,2116228,Steers Mimosa,Free State,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-15 16:27:54,14443800,restaurant_accepted,credit,194.8,2116228,Steers Mimosa,Free State,2019-08-15 16:34:50,2019-08-15 16:54:50,2019-08-15 17:09:35
2019-08-29 16:03:50,15006891,restaurant_accepted,instant_eft,154.0,2116228,Nando's Caltex House,Free State,2019-08-29 16:10:47,2019-08-29 16:42:47,2019-08-29 16:51:00
2019-10-05 12:30:04,16537266,restaurant_accepted,instant_eft,68.9,2116228,KFC Loch Logan,Free State,2019-10-05 12:33:35,2019-10-05 12:48:35,2019-10-05 13:05:24
2019-10-07 17:12:07,16636004,none,none,69.9,2116228,Roman's Pizza Brandwag,Free State,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-11 17:33:34,16790241,restaurant_accepted,credit,59.9,2116228,Wimpy Mimosa Mall,Free State,2019-10-11 17:35:53,2019-10-11 17:50:54,2019-10-11 17:55:20
2019-10-16 16:29:18,16985533,none,none,55.2,2116228,Full House Sushi Bar & Chinese Restaurant - Preller Plein,Free State,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-16 16:29:36,16985542,restaurant_accepted,instant_eft,55.2,2116228,Full House Sushi Bar & Chinese Restaurant - Preller Plein,Free State,2019-10-16 16:38:24,2019-10-16 16:58:24,2019-10-16 17:15:50
2019-08-14 17:50:17,14418866,none,none,115.7,2116229,McDonald's Columbine,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-22 18:31:49,14684696,none,none,219.9,2116229,Steers Comaro Crossing,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-22 18:34:18,14684938,restaurant_accepted,credit,219.9,2116229,Steers Comaro Crossing,Gauteng,2019-08-22 18:38:15,2019-08-22 18:53:15,2019-08-22 19:12:52
2019-08-14 17:47:14,14418619,none,none,245.0,2116230,Simply Asia Brooklyn Mall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:45:26,14418501,none,none,144.9,2116231,KFC Mount Edgecombe Plaza,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:46:19,14418571,restaurant_accepted,cash,162.8,2116231,KFC Mount Edgecombe Plaza,KwaZulu-Natal,2019-08-14 17:47:54,2019-08-14 18:02:54,2019-08-14 18:03:40
2019-08-20 09:03:59,14601992,none,none,87.8,2116231,McDonald's Mount Edgecombe,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 09:12:31,14602079,none,none,99.0,2116231,Spur Apache River,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-20 09:17:11,14602140,none,none,159.0,2116231,Spur Apache River,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 19:00:41,14424485,none,none,188.0,2116232,Kauai Loftus Park IM (VA),Pretoria,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 19:04:23,14424775,restaurant_accepted,cash,239.0,2116232,Kauai Loftus Park IM (VA),Pretoria,2019-08-14 19:06:29,2019-08-14 19:21:29,2019-08-14 19:40:30
2019-09-05 16:06:04,15309042,none,none,196.0,2116232,Smack Pizza Co Rivonia Boulevard,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-22 12:40:38,15948334,restaurant_accepted,cash,283.6,2116232,Steers Grayston,Sandton,2019-09-22 12:41:36,2019-09-22 12:59:36,2019-09-22 13:05:45
2019-10-19 11:42:02,17113483,none,none,101.0,2116232,Kauai Morningside (VA),Sandton,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-25 19:11:54,17414730,restaurant_accepted,cash,181.2,2116232,Kung Fu Kitchen Grayston Centre,Sandton,2019-10-25 19:13:09,2019-10-25 19:53:09,2019-10-25 20:02:00
2019-08-14 17:50:47,14418909,none,instant_eft,150.5,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:20:48,17074914,none,none,209.6,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:21:50,17074983,none,instant_eft,199.8,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:25:59,17075287,none,none,199.8,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:27:12,17075368,none,none,199.8,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:27:48,17075419,none,instant_eft,199.8,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:31:27,17075707,none,none,199.8,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 16:32:17,17075761,none,credit,199.8,2116233,Fishaways Bluff,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-21 09:25:01,17202346,none,none,152.0,2116233,Anchors Fish & Chips,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-21 09:26:15,17202368,none,instant_eft,152.0,2116233,Anchors Fish & Chips,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-21 09:36:34,17202527,restaurant_accepted,instant_eft,152.0,2116233,Anchors Fish & Chips,KwaZulu-Natal,2019-10-21 09:38:32,2019-10-21 09:54:32,2019-10-21 10:03:48
2019-08-14 17:44:50,14418440,none,none,102.9,2116235,Snoekies Belvedere,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:53:17,14419098,restaurant_accepted,cash,102.9,2116235,Snoekies Belvedere,Western Cape,2019-08-14 17:56:50,2019-08-14 18:16:50,2019-08-14 18:30:28
2019-08-28 19:26:46,14973652,none,none,79.9,2116235,Barcelos St Peter Square,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-28 20:36:40,14979082,restaurant_accepted,instant_eft,100.0,2116235,PRIMI Cavendish Square,Western Cape,2019-08-28 20:41:32,2019-08-28 21:00:32,2019-08-28 21:05:30
2019-09-03 16:53:31,15239471,restaurant_accepted,credit,90.0,2116235,Rack 'n Grill,Western Cape,2019-09-03 16:58:59,2019-09-03 17:13:59,2019-09-03 17:39:32
2019-09-23 11:17:10,15983735,none,credit,92.0,2116235,Seven Steps Takeaways,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-29 14:13:26,16276462,restaurant_accepted,credit,42.0,2116235,Nando's Rondebosch Shopping Centre,Western Cape,2019-09-29 14:15:58,2019-09-29 14:33:58,2019-09-29 14:38:39
2019-09-29 14:17:20,16276719,none,credit,87.0,2116235,Nando's Rondebosch Shopping Centre,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-10 17:17:09,16744078,none,none,103.0,2116235,Asami Asian Cuisine,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-10 17:47:44,16746777,restaurant_accepted,credit,100.0,2116235,Dehli Bowl,Western Cape,2019-10-10 17:51:35,2019-10-10 18:06:35,2019-10-10 18:15:51
2019-10-11 20:40:54,16813844,restaurant_accepted,credit,129.0,2116235,Nando's Rondebosch Shopping Centre,Western Cape,2019-10-11 20:42:05,2019-10-11 21:05:05,2019-10-11 21:22:14
2019-10-13 11:15:03,16865249,none,none,139.8,2116235,KFC Woodstock,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-13 11:16:36,16865339,none,none,139.8,2116235,KFC Woodstock,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-13 11:24:20,16865809,none,cash,139.8,2116235,KFC Woodstock,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:50:43,14418900,none,none,169.9,2116237,Barcelos Basil Bure,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 17:56:09,14419321,none,credit,169.9,2116237,Barcelos Basil Bure,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
